adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,https://image.tmdb.org/t/p/original/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,"[28, 12, 16, 35, 10751]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",4795.12,https://image.tmdb.org/t/p/original/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,6.974,341
False,https://image.tmdb.org/t/p/original/zAepSrO99owYwQqi0QG2AS0dHXw.jpg,"[28, 14]",634492,en,Madame Web,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",2707.52,https://image.tmdb.org/t/p/original/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,2024-02-14,Madame Web,False,5.622,783
False,https://image.tmdb.org/t/p/original/deLWkOLZmBNkm8p16igfapQyqeq.jpg,"[14, 28, 12]",763215,en,Damsel,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,1663.423,https://image.tmdb.org/t/p/original/sMp34cNKjIb18UBOCoAv4DpCxwY.jpg,2024-03-08,Damsel,False,7.205,1200
False,https://image.tmdb.org/t/p/original/oFAukXiMPrwLpbulGmB5suEZlrm.jpg,"[28, 12, 878, 14, 18]",624091,id,Sri Asih,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",1292.877,https://image.tmdb.org/t/p/original/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,2022-11-17,Sri Asih,False,6.423,39
False,https://image.tmdb.org/t/p/original/mDeUmPe4MF35WWlAqj4QFX5UauJ.jpg,"[28, 27, 53]",1096197,pt,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,1189.811,https://image.tmdb.org/t/p/original/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,2024-01-18,No Way Up,False,6.152,279
False,https://image.tmdb.org/t/p/original/mEoIDEiePnYj178H9znzbl9zvky.jpg,[28],1006540,en,Bullet Train Down,"On its maiden run, the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph.",1015.884,https://image.tmdb.org/t/p/original/5a7cocgyVuFjYV71neDIGVzD6Yq.jpg,2022-08-01,Bullet Train Down,False,4.972,18
False,https://image.tmdb.org/t/p/original/u0P5drNyTrZoGyJONPcZGbv1mNP.jpg,"[28, 53]",1124127,en,Air Force One Down,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",1006.219,https://image.tmdb.org/t/p/original/nKPoSD4pZ3s3CJ9g3cqWRcQ41TC.jpg,2024-02-09,Air Force One Down,False,6.291,43
False,https://image.tmdb.org/t/p/original/fFdlyeC8qPROUqM8ydR9INXAG17.jpg,"[28, 53]",359410,en,Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",933.68,https://image.tmdb.org/t/p/original/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg,2024-03-08,Road House,False,7.262,585
False,https://image.tmdb.org/t/p/original/7CYeSazkpkWS1znWM11ucA2L6CR.jpg,"[28, 878, 12]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",926.57,https://image.tmdb.org/t/p/original/bQ2ywkchIiaKLSEaMrcT6e29f91.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,8.3,26
False,https://image.tmdb.org/t/p/original/meyhnvssZOPPjud4F1CjOb4snET.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",922.35,https://image.tmdb.org/t/p/original/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,False,7.6,1003
False,https://image.tmdb.org/t/p/original/xvk5AhfhgQcTuaCQyq3XqAnhEma.jpg,"[28, 12, 35]",848538,en,Argylle,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",913.812,https://image.tmdb.org/t/p/original/95VlSEfLMqeX36UVcHJuNlWEpwf.jpg,2024-01-31,Argylle,False,6.165,702
False,https://image.tmdb.org/t/p/original/qVrS8bu1B7G1tgLTlCZQi4CFsTh.jpg,"[28, 53, 10752]",969492,en,Land of Bad,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",890.408,https://image.tmdb.org/t/p/original/h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg,2024-01-25,Land of Bad,False,7.113,420
False,https://image.tmdb.org/t/p/original/ekRp1sEA8pnuzVHQkUESTgNSKdW.jpg,"[878, 28, 80]",932420,en,Code 8 Part II,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",797.309,https://image.tmdb.org/t/p/original/hhvMTxlTZtnCOe7YFhod9uz3m37.jpg,2024-02-27,Code 8 Part II,False,6.487,350
False,https://image.tmdb.org/t/p/original/4Ep2KivIBUZbkS7kHjW7Qywnhhj.jpg,[28],1049948,en,Vikings: Battle of Heirs,"A young Viking must come to terms with the realization that he may be the King's son, who was switched at birth, but not before others try to take his rightful place.",741.803,https://image.tmdb.org/t/p/original/87goLbbqrJqAxqDS5cBsik1zKT.jpg,2023-04-28,Vikings: Battle of Heirs,False,7.444,9
False,https://image.tmdb.org/t/p/original/cu5Qk2QHxOyyMrD3Bq93DxgmJer.jpg,"[28, 80]",1046090,zh,周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",720.93,https://image.tmdb.org/t/p/original/7IJ7F8tX7IAkpUdaGovOBJqORnJ.jpg,2023-10-06,"The Pig, the Snake and the Pigeon",False,7.529,105
False,https://image.tmdb.org/t/p/original/i7nnmCTnjK50vNqbMfVtmoVULWJ.jpg,[28],1081620,en,The Weapon,"Dallas is a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who’s holding Dallas’ girlfriend hostage. But who is Dallas working for? Even torture won’t make him talk, and he won’t stop until justice is served.",578.928,https://image.tmdb.org/t/p/original/slQYCDzCMM8SBh9Xa3aPeM2fekA.jpg,2023-02-17,The Weapon,False,5.786,21
False,https://image.tmdb.org/t/p/original/kSdIVZu7Cv60o9hTbKBzcTrbMX8.jpg,"[28, 53]",984249,en,Ruthless,"A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.",558.468,https://image.tmdb.org/t/p/original/4ndp1pnHWRuiZLNpFJvO4Kh6Tav.jpg,2023-12-14,Ruthless,False,6.7,36
False,https://image.tmdb.org/t/p/original/l6w0qCPRJ2ANAv9pEBMk8WBN1vD.jpg,"[28, 35]",1217409,es,Jaque Mate,"Duque, an international secret agent who retired years ago after a traumatic event, is forced to return to action when a commando operative kidnaps his niece and forces him to steal a precious scientific formula as part of the ransom.",532.257,https://image.tmdb.org/t/p/original/o960Qx10rRRA4t44DsjeiYB3Dmh.jpg,2024-01-25,Jaque Mate,False,4.4,8
False,https://image.tmdb.org/t/p/original/oFS0DgInCdvYRwaPkl3BLpmIuq5.jpg,"[28, 80, 18, 9648, 878, 53]",1013240,id,24 Jam Bersama Gaspar,"With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.",531.803,https://image.tmdb.org/t/p/original/jSG2fEbYUiQLcA1QfMNDjpnFYJa.jpg,2023-10-06,24 Hours with Gaspar,False,7.0,18
False,https://image.tmdb.org/t/p/original/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"[878, 28, 14, 12]",601796,ko,외계+인 1부,"In the year 2022, a Robot Guard manages alien prisoners trapped inside human brains. Raising the young girl Ean on Earth, he lives in the guise of a human being. One day, when an alien prisoner escapes, the entire planet is thrown into jeopardy and Guard goes back to the past with Ean to trap the alien there. Meanwhile 630 years earlier during the Goryeo Dynasty, an older Ean is known as ""The Girl Who Shoots Thunder"". While Ean is trying to retrieve the Divine Blade, the key to traveling through time, Muruk, a hapless dosa (Korean tao magician), is aiming to claim the enormous bounty placed on it.",497.153,https://image.tmdb.org/t/p/original/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,Alienoid,False,7.171,211
False,https://image.tmdb.org/t/p/original/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,"[28, 12, 16, 35, 10751]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",4026.558,https://image.tmdb.org/t/p/original/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,6.975,342
False,https://image.tmdb.org/t/p/original/deLWkOLZmBNkm8p16igfapQyqeq.jpg,"[14, 28, 12]",763215,en,Damsel,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,1411.052,https://image.tmdb.org/t/p/original/sMp34cNKjIb18UBOCoAv4DpCxwY.jpg,2024-03-08,Damsel,False,7.2,1204
False,https://image.tmdb.org/t/p/original/oFAukXiMPrwLpbulGmB5suEZlrm.jpg,"[28, 12, 878, 14, 18]",624091,id,Sri Asih,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",1102.39,https://image.tmdb.org/t/p/original/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,2022-11-17,Sri Asih,False,6.423,39
False,https://image.tmdb.org/t/p/original/7CYeSazkpkWS1znWM11ucA2L6CR.jpg,"[28, 878, 12]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",1297.198,https://image.tmdb.org/t/p/original/bQ2ywkchIiaKLSEaMrcT6e29f91.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,8.074,27
False,https://image.tmdb.org/t/p/original/meyhnvssZOPPjud4F1CjOb4snET.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",847.528,https://image.tmdb.org/t/p/original/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,False,7.559,1005
False,https://image.tmdb.org/t/p/original/xvk5AhfhgQcTuaCQyq3XqAnhEma.jpg,"[28, 12, 35]",848538,en,Argylle,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",743.424,https://image.tmdb.org/t/p/original/95VlSEfLMqeX36UVcHJuNlWEpwf.jpg,2024-01-31,Argylle,False,6.155,705
False,https://image.tmdb.org/t/p/original/87IVlclAfWL6mdicU1DDuxdwXwe.jpg,"[878, 12]",693134,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",739.178,https://image.tmdb.org/t/p/original/8b8R8l88Qje9dn9OE8PY05Nxl1X.jpg,2024-02-27,Dune: Part Two,False,8.391,2154
False,https://image.tmdb.org/t/p/original/3JhQQFidqbrD9k9DxGFCba46EFk.jpg,"[14, 12, 35]",967847,en,Ghostbusters: Frozen Empire,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",495.169,https://image.tmdb.org/t/p/original/r65fWcFELCSeyyrkq5wY09EPSGN.jpg,2024-03-20,Ghostbusters: Frozen Empire,False,6.868,95
False,https://image.tmdb.org/t/p/original/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"[878, 28, 14, 12]",601796,ko,외계+인 1부,"In the year 2022, a Robot Guard manages alien prisoners trapped inside human brains. Raising the young girl Ean on Earth, he lives in the guise of a human being. One day, when an alien prisoner escapes, the entire planet is thrown into jeopardy and Guard goes back to the past with Ean to trap the alien there. Meanwhile 630 years earlier during the Goryeo Dynasty, an older Ean is known as ""The Girl Who Shoots Thunder"". While Ean is trying to retrieve the Divine Blade, the key to traveling through time, Muruk, a hapless dosa (Korean tao magician), is aiming to claim the enormous bounty placed on it.",696.014,https://image.tmdb.org/t/p/original/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,Alienoid,False,7.171,211
False,https://image.tmdb.org/t/p/original/lzWHmYdfeFiMIY4JaMmtR7GEli3.jpg,"[878, 12]",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",430.853,https://image.tmdb.org/t/p/original/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,7.79,10958
False,https://image.tmdb.org/t/p/original/bckxSN9ueOgm0gJpVJmPQrecWul.jpg,"[28, 12, 14]",572802,en,Aquaman and the Lost Kingdom,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",404.493,https://image.tmdb.org/t/p/original/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg,2023-12-20,Aquaman and the Lost Kingdom,False,6.819,2118
False,https://image.tmdb.org/t/p/original/feSiISwgEpVzR1v3zv2n2AU4ANJ.jpg,"[878, 12, 28]",609681,en,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",367.136,https://image.tmdb.org/t/p/original/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,2023-11-08,The Marvels,False,6.2,2094
False,https://image.tmdb.org/t/p/original/ehumsuIBbgAe1hg343oszCLrAfI.jpg,"[16, 10751, 14, 12]",1022796,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",368.305,https://image.tmdb.org/t/p/original/AcoVfiv1rrWOmAdpnAMnM56ki19.jpg,2023-11-13,Wish,False,6.622,896
False,https://image.tmdb.org/t/p/original/xStFwzqBWDRyUz3BldisuUY7kjW.jpg,"[14, 12, 10770]",885303,it,I viaggiatori,Time jump to 1939 with teenager Max and his friends as they try to navigate Mussolini's Rome and find Max's missing brother.,283.494,https://image.tmdb.org/t/p/original/38N7GRJLu7IWyEdil96YobJ5LWM.jpg,2022-11-21,The Voyagers,False,5.313,40
False,https://image.tmdb.org/t/p/original/a0GM57AnJtNi7lMOCamniiyV10W.jpg,"[16, 12, 14]",508883,ja,君たちはどう生きるか,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",285.837,https://image.tmdb.org/t/p/original/f4oZTcfGrVTXKTWg157AwikXqmP.jpg,2023-07-14,The Boy and the Heron,False,7.4,1132
False,https://image.tmdb.org/t/p/original/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,"[12, 14]",672,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",271.529,https://image.tmdb.org/t/p/original/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,2002-11-13,Harry Potter and the Chamber of Secrets,False,7.72,21140
False,https://image.tmdb.org/t/p/original/8yv5VtWX1gBMWZLiekEBaygJj3S.jpg,"[16, 10751, 18, 12, 14]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",275.681,https://image.tmdb.org/t/p/original/xeqXXTE1Cd3qNaAEOT6qbhhCsgJ.jpg,2024-06-12,Inside Out 2,False,0.0,0
